[ 2025-08-27 14:24:44,596 ] 19 root - INFO - Initiate the data ingestion
[ 2025-08-27 14:24:45,897 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-27 14:24:45,897 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-27 14:24:45,898 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-27 14:24:46,002 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-27 14:24:46,003 ] 21 root - INFO - Data Initiation Completed
[ 2025-08-27 14:24:46,014 ] 25 root - INFO - Initiate the data Validation
[ 2025-08-27 14:24:46,049 ] 37 root - INFO - Required number of columns:2
[ 2025-08-27 14:24:46,049 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-27 14:24:46,049 ] 37 root - INFO - Required number of columns:2
[ 2025-08-27 14:24:46,050 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-27 14:24:46,292 ] 27 root - INFO - data Validation Completed
[ 2025-08-27 14:24:46,292 ] 30 root - INFO - data Transformation started
[ 2025-08-27 14:24:46,292 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-27 14:24:46,292 ] 65 root - INFO - Starting data transformation
[ 2025-08-27 14:24:46,332 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-27 14:24:46,332 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-27 14:24:46,360 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 14:24:46,368 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 14:24:46,368 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 14:24:46,375 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 14:24:46,376 ] 34 root - INFO - data Transformation completed
[ 2025-08-27 14:24:46,376 ] 36 root - INFO - Model Training started
