[ 2025-08-27 14:04:27,691 ] 19 root - INFO - Initiate the data ingestion
[ 2025-08-27 14:04:28,971 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-27 14:04:28,972 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-27 14:04:28,973 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-27 14:04:29,072 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-27 14:04:29,073 ] 21 root - INFO - Data Initiation Completed
[ 2025-08-27 14:04:29,084 ] 25 root - INFO - Initiate the data Validation
[ 2025-08-27 14:04:29,124 ] 37 root - INFO - Required number of columns:2
[ 2025-08-27 14:04:29,124 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-27 14:04:29,124 ] 37 root - INFO - Required number of columns:2
[ 2025-08-27 14:04:29,124 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-27 14:04:29,405 ] 27 root - INFO - data Validation Completed
[ 2025-08-27 14:04:29,406 ] 30 root - INFO - data Transformation started
[ 2025-08-27 14:04:29,406 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-27 14:04:29,406 ] 65 root - INFO - Starting data transformation
[ 2025-08-27 14:04:29,459 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-27 14:04:29,459 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-27 14:04:29,488 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 14:04:29,496 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 14:04:29,496 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 14:04:29,502 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 14:04:29,504 ] 34 root - INFO - data Transformation completed
[ 2025-08-27 14:04:29,504 ] 36 root - INFO - Model Training started
