[ 2025-08-26 15:59:14,482 ] 18 root - INFO - Initiate the data ingestion
[ 2025-08-26 15:59:16,153 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-26 15:59:16,153 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-26 15:59:16,154 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-26 15:59:16,250 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-26 15:59:16,251 ] 20 root - INFO - Data Initiation Completed
[ 2025-08-26 15:59:16,262 ] 24 root - INFO - Initiate the data Validation
[ 2025-08-26 15:59:16,301 ] 37 root - INFO - Required number of columns:2
[ 2025-08-26 15:59:16,302 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-26 15:59:16,302 ] 37 root - INFO - Required number of columns:2
[ 2025-08-26 15:59:16,302 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-26 15:59:16,597 ] 26 root - INFO - data Validation Completed
[ 2025-08-26 15:59:16,597 ] 29 root - INFO - data Transformation started
[ 2025-08-26 15:59:16,598 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-26 15:59:16,598 ] 65 root - INFO - Starting data transformation
[ 2025-08-26 15:59:16,634 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-26 15:59:16,634 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-26 15:59:16,676 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 15:59:16,692 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 15:59:16,692 ] 48 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-26 15:59:16,698 ] 52 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-26 15:59:16,700 ] 33 root - INFO - data Transformation completed
