[ 2025-08-27 13:01:36,701 ] 19 root - INFO - Initiate the data ingestion
[ 2025-08-27 13:01:38,013 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-08-27 13:01:38,013 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-08-27 13:01:38,014 ] 75 root - INFO - Exporting train and test file path.
[ 2025-08-27 13:01:38,113 ] 84 root - INFO - Exported train and test file path.
[ 2025-08-27 13:01:38,113 ] 21 root - INFO - Data Initiation Completed
[ 2025-08-27 13:01:38,125 ] 25 root - INFO - Initiate the data Validation
[ 2025-08-27 13:01:38,163 ] 37 root - INFO - Required number of columns:2
[ 2025-08-27 13:01:38,163 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-27 13:01:38,163 ] 37 root - INFO - Required number of columns:2
[ 2025-08-27 13:01:38,163 ] 38 root - INFO - Data frame has columns:31
[ 2025-08-27 13:01:38,449 ] 27 root - INFO - data Validation Completed
[ 2025-08-27 13:01:38,450 ] 30 root - INFO - data Transformation started
[ 2025-08-27 13:01:38,450 ] 63 root - INFO - Entered initiate_data_transformation method of DataTransformation class
[ 2025-08-27 13:01:38,450 ] 65 root - INFO - Starting data transformation
[ 2025-08-27 13:01:38,492 ] 48 root - INFO - Entered get_data_trnasformer_object method of Trnasformation class
[ 2025-08-27 13:01:38,492 ] 53 root - INFO - Initialise KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2025-08-27 13:01:38,520 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 13:01:38,528 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 13:01:38,528 ] 51 root - INFO - Entered the save_object method of MainUtils class
[ 2025-08-27 13:01:38,534 ] 55 root - INFO - Exited the save_object method of MainUtils class
[ 2025-08-27 13:01:38,536 ] 34 root - INFO - data Transformation completed
[ 2025-08-27 13:01:38,536 ] 36 root - INFO - Model Training started
